query-id	corpus-id	score
COMP_4_015	COMP2011_ch1_1	1
COMP_4_016	COMP2011_ch1_10	1
COMP_4_017	COMP2011_ch1_19	1
COMP_4_018	COMP2011_ch1_29	1
COMP_4_019	COMP2011_ch1_38	1
COMP_4_020	COMP2011_ch2_1	1
COMP_4_021	COMP2011_ch2_8	1
COMP_4_022	COMP2011_ch2_15	1
COMP_4_023	COMP2011_ch2_23	1
COMP_4_024	COMP2011_ch2_30	1
COMP_4_025	COMP2011_ch3_1	1
COMP_4_026	COMP2011_ch3_8	1
COMP_4_027	COMP2011_ch3_15	1
COMP_4_028	COMP2011_ch3_21	1
COMP_4_029	COMP2011_ch3_28	1
COMP_4_030	COMP2011_ch4_1	1
COMP_4_031	COMP2011_ch4_7	1
COMP_4_032	COMP2011_ch4_14	1
COMP_4_033	COMP2011_ch4_21	1
COMP_4_034	COMP2011_ch4_27	1
COMP_4_035	COMP2011_ch5_1	1
COMP_4_036	COMP2011_ch5_4	1
COMP_4_037	COMP2011_ch5_7	1
COMP_4_038	COMP2011_ch5_11	1
COMP_4_039	COMP2011_ch5_14	1
COMP_4_040	COMP2011_ch6_1	1
COMP_4_041	COMP2011_ch6_12	1
COMP_4_042	COMP2011_ch6_23	1
COMP_4_043	COMP2011_ch6_34	1
COMP_4_044	COMP2011_ch6_45	1
COMP_4_045	COMP2011_ch7_1	1
COMP_4_046	COMP2011_ch7_11	1
COMP_4_047	COMP2011_ch7_21	1
COMP_4_048	COMP2011_ch7_32	1
COMP_4_049	COMP2011_ch7_42	1
COMP_4_050	COMP2011_ch8_1	1
COMP_4_051	COMP2011_ch8_9	1
COMP_4_052	COMP2011_ch8_17	1
COMP_4_053	COMP2011_ch8_25	1
COMP_4_054	COMP2011_ch8_33	1
COMP_4_055	COMP2011_ch9_1	1
COMP_4_056	COMP2011_ch9_3	1
COMP_4_057	COMP2011_ch9_6	1
COMP_4_058	COMP2011_ch9_9	1
COMP_4_059	COMP2011_ch9_11	1
COMP_4_060	COMP2011_ch10_1	1
COMP_4_061	COMP2011_ch10_6	1
COMP_4_062	COMP2011_ch10_11	1
COMP_4_063	COMP2011_ch10_16	1
COMP_4_064	COMP2011_ch10_21	1
COMP_4_065	COMP2011_ch11_1	1
COMP_4_066	COMP2011_ch11_6	1
COMP_4_067	COMP2011_ch11_11	1
COMP_4_068	COMP2011_ch11_16	1
COMP_4_069	COMP2011_ch11_21	1
COMP_4_070	COMP2011_ch12_1	1
COMP_4_071	COMP2011_ch12_27	1
COMP_4_072	COMP2011_ch12_54	1
COMP_4_073	COMP2011_ch12_81	1
COMP_4_074	COMP2011_ch12_107	1
COMP_4_075	COMP2011_ch13_1	1
COMP_4_076	COMP2011_ch13_12	1
COMP_4_077	COMP2011_ch13_23	1
COMP_4_078	COMP2011_ch13_33	1
