query-id	corpus-id	score
HUMA_3_001	HUMA1678_ch1_5	1
HUMA_3_002	HUMA1678_ch1_6	1
HUMA_3_003	HUMA1678_ch2_5	1
HUMA_3_004	HUMA1678_ch2_6	1
HUMA_3_005	HUMA1678_ch3_5	1
HUMA_3_006	HUMA1678_ch3_6	1
HUMA_3_007	HUMA1678_ch4_5	1
HUMA_3_008	HUMA1678_ch4_6	1
HUMA_3_009	HUMA1678_ch5_5	1
HUMA_3_010	HUMA1678_ch5_6	1
HUMA_3_011	HUMA1678_ch6_5	1
HUMA_3_012	HUMA1678_ch6_6	1
HUMA_3_013	HUMA1678_ch7_5	1
HUMA_3_014	HUMA1678_ch7_6	1
HUMA_3_015	HUMA1678_ch8_5	1
HUMA_3_016	HUMA1678_ch8_6	1
HUMA_3_017	HUMA1678_ch9_5	1
HUMA_3_018	HUMA1678_ch9_6	1
HUMA_3_019	HUMA1678_ch10_5	1
HUMA_3_020	HUMA1678_ch10_6	1
HUMA_3_021	HUMA1678_ch11_5	1
HUMA_3_022	HUMA1678_ch11_6	1
HUMA_3_023	HUMA1678_ch12_5	1
HUMA_3_024	HUMA1678_ch12_6	1
HUMA_3_025	HUMA1678_ch1_5	1
HUMA_3_027	HUMA1678_ch1_5	1
HUMA_3_029	HUMA1678_ch1_5	1
HUMA_3_031	HUMA1678_ch1_5	1
