query-id	corpus-id	score
ECON_6_02	ECON1220_ch7_7	1
ECON_6_04	ECON1220_ch7_49	1
ECON_6_06	ECON1220_ch7_18	1
ECON_6_08	ECON1220_ch7_46	1
ECON_6_09	ECON1220_ch7_63	1
ECON_6_10	ECON1220_ch7_48	1
ECON_6_11	ECON1220_ch7_49	1
ECON_6_12	ECON1220_ch7_26	1
ECON_6_13	ECON1220_ch7_29	1
ECON_6_14	ECON1220_ch4_6	1
ECON_6_15	ECON1220_ch4_40	1
ECON_6_16	ECON1220_ch1_37	1
ECON_6_17	ECON1220_ch7_17	1
ECON_6_18	ECON1220_ch7_19	1
ECON_6_19	ECON1220_ch7_74	1
ECON_6_20	ECON1220_ch1_42	1
ECON_6_20	ECON1220_ch1_45	1
ECON_6_21	ECON1220_ch1_1	1
ECON_6_22	ECON1220_ch1_25	1
ECON_6_23	ECON1220_ch1_49	1
ECON_6_24	ECON1220_ch2_1	1
ECON_6_25	ECON1220_ch2_13	1
ECON_6_26	ECON1220_ch2_25	1
ECON_6_27	ECON1220_ch3_1	1
ECON_6_28	ECON1220_ch3_34	1
ECON_6_29	ECON1220_ch3_66	1
ECON_6_30	ECON1220_ch4_1	1
ECON_6_31	ECON1220_ch4_46	1
ECON_6_32	ECON1220_ch4_90	1
ECON_6_33	ECON1220_ch5_1	1
ECON_6_34	ECON1220_ch5_26	1
ECON_6_35	ECON1220_ch5_51	1
ECON_6_36	ECON1220_ch6_1	1
ECON_6_37	ECON1220_ch6_13	1
ECON_6_38	ECON1220_ch6_25	1
ECON_6_39	ECON1220_ch7_1	1
ECON_6_40	ECON1220_ch7_39	1
ECON_6_41	ECON1220_ch7_76	1
ECON_6_42	ECON1220_ch8_1	1
ECON_6_43	ECON1220_ch8_36	1
ECON_6_44	ECON1220_ch8_71	1
ECON_6_45	ECON1220_ch9_1	1
ECON_6_46	ECON1220_ch9_22	1
ECON_6_47	ECON1220_ch9_42	1
ECON_6_48	ECON1220_ch10_1	1
ECON_6_49	ECON1220_ch10_25	1
ECON_6_50	ECON1220_ch10_48	1
ECON_6_51	ECON1220_ch11_1	1
ECON_6_52	ECON1220_ch11_32	1
ECON_6_53	ECON1220_ch11_63	1
