query_id,type,lecture,feature,text,corpus_ids,answerable,notes
HUMA_1_001,1,ch1,0,What does the text say about understanding digital humanities?,HUMA1678_ch1_1,yes,normal query
HUMA_1_002,1,ch1,0,What does the text say about introduction selection editorial?,HUMA1678_ch1_2,yes,normal query
HUMA_1_003,1,ch2,0,What does the text say about debates digital humanities?,HUMA1678_ch2_1,yes,normal query
HUMA_1_004,1,ch2,0,What does the text say about copyright regents university?,HUMA1678_ch2_2,yes,normal query
HUMA_1_005,1,ch3,0,What does the text say about networks introduction newman?,HUMA1678_ch3_1,yes,normal query
HUMA_1_006,1,ch3,0,What does the text say about oxford umiybrsity press?,HUMA1678_ch3_2,yes,normal query
HUMA_1_007,1,ch4,0,What does the text say about historical technologies methodologies?,HUMA1678_ch4_1,yes,normal query
HUMA_1_008,1,ch4,0,What does the text say about cambridge university press?,HUMA1678_ch4_2,yes,normal query
HUMA_1_009,1,ch5,0,What does the text say about literary pamphlet franco?,HUMA1678_ch5_1,yes,normal query
HUMA_1_010,1,ch5,0,What does the text say about franco moretti network?,HUMA1678_ch5_2,yes,normal query
HUMA_1_011,1,ch6,0,What does the text say about indiana university press?,HUMA1678_ch6_1,yes,normal query
HUMA_1_012,1,ch6,0,What does the text say about book publication indiana?,HUMA1678_ch6_2,yes,normal query
HUMA_1_013,1,ch7,0,What does the text say about taylor arnold lauren?,HUMA1678_ch7_1,yes,normal query
HUMA_1_014,1,ch7,0,What does the text say about taylor arnold university?,HUMA1678_ch7_2,yes,normal query
HUMA_1_015,1,ch8,0,What does the text say about taylor arnold lauren?,HUMA1678_ch8_1,yes,normal query
HUMA_1_016,1,ch8,0,What does the text say about taylor arnold university?,HUMA1678_ch8_2,yes,normal query
HUMA_1_017,1,ch9,0,What does the text say about debating developing digital?,HUMA1678_ch9_1,yes,normal query
HUMA_1_018,1,ch9,0,What does the text say about debating developing digital?,HUMA1678_ch9_2,yes,normal query
HUMA_1_019,1,ch10,0,What does the text say about taylor arnold lauren?,HUMA1678_ch10_1,yes,normal query
HUMA_1_020,1,ch10,0,What does the text say about taylor arnold university?,HUMA1678_ch10_2,yes,normal query
HUMA_1_021,1,ch11,0,What does the text say about indiana university press?,HUMA1678_ch11_1,yes,normal query
HUMA_1_022,1,ch11,0,What does the text say about book publication indiana?,HUMA1678_ch11_2,yes,normal query
HUMA_1_023,1,ch12,0,What does the text say about historical technologies methodologies?,HUMA1678_ch12_1,yes,normal query
HUMA_1_024,1,ch12,0,What does the text say about cambridge university press?,HUMA1678_ch12_2,yes,normal query
HUMA_1_025,1,special,0,What is understanding digital humanities as defined in the text?,HUMA1678_ch1_1,yes,special query; feature combo
HUMA_1_026,1,special,1,What does the text say about quantum entanglement in Mars rovers?,,no,special query; feature combo
HUMA_1_027,1,special,2,wht is understanding digital humanities as defined in te tx pls,HUMA1678_ch1_1,yes,special query; feature combo
HUMA_1_028,1,special,3,wht doe te tx say abt quantum entanglement in Mars rovers? pls,,no,special query; feature combo
HUMA_1_029,1,special,4,"Theo bai doc, understanding digital humanities la gi?",HUMA1678_ch1_1,yes,special query; feature combo
HUMA_1_030,1,special,5,"Theo bai doc, no noi gi ve quantum entanglement trong Mars rover?",,no,special query; feature combo
HUMA_1_031,1,special,6,"Theo bai doc, understanding digital humanities la gi? pls",HUMA1678_ch1_1,yes,special query; feature combo
HUMA_1_032,1,special,7,"Theo bai doc, no noi gi ve quantum entanglement trong Mars rover? pls",,no,special query; feature combo
HUMA_2_001,2,ch1,0,Does the text claim that digital is the only factor behind methods?,HUMA1678_ch1_3,yes,normal query
HUMA_2_002,2,ch1,0,Does the text claim that bernhard is the only factor behind rieder?,HUMA1678_ch1_4,yes,normal query
HUMA_2_003,2,ch2,0,Does the text claim that cotilenls is the only factor behind introduction?,HUMA1678_ch2_3,yes,normal query
HUMA_2_004,2,ch2,0,Does the text claim that future is the only factor behind digital?,HUMA1678_ch2_4,yes,normal query
HUMA_2_005,2,ch3,0,Does the text claim that contents is the only factor behind fundamentals?,HUMA1678_ch3_3,yes,normal query
HUMA_2_006,2,ch3,0,Does the text claim that contents is the only factor behind clustering?,HUMA1678_ch3_4,yes,normal query
HUMA_2_007,2,ch4,0,Does the text claim that contents is the only factor behind page?,HUMA1678_ch4_3,yes,normal query
HUMA_2_008,2,ch4,0,Does the text claim that role is the only factor behind historical?,HUMA1678_ch4_4,yes,normal query
HUMA_2_009,2,ch5,0,Does the text claim that character is the only factor behind network?,HUMA1678_ch5_3,yes,normal query
HUMA_2_010,2,ch5,0,Does the text claim that ghost is the only factor behind shows?,HUMA1678_ch5_4,yes,normal query
HUMA_2_011,2,ch6,0,Does the text claim that contents is the only factor behind introduction?,HUMA1678_ch6_3,yes,normal query
HUMA_2_012,2,ch6,0,Does the text claim that geospatial is the only factor behind semantic?,HUMA1678_ch6_4,yes,normal query
HUMA_2_013,2,ch7,0,Does the text claim that chapter is the only factor behind restructuring?,HUMA1678_ch7_3,yes,normal query
HUMA_2_014,2,ch7,0,Does the text claim that restructuring is the only factor behind data?,HUMA1678_ch7_4,yes,normal query
HUMA_2_015,2,ch8,0,Does the text claim that chapter is the only factor behind network?,HUMA1678_ch8_3,yes,normal query
HUMA_2_016,2,ch8,0,Does the text claim that network is the only factor behind data?,HUMA1678_ch8_4,yes,normal query
HUMA_2_017,2,ch9,0,Does the text claim that jing is the only factor behind chen?,HUMA1678_ch9_3,yes,normal query
HUMA_2_018,2,ch9,0,Does the text claim that debating is the only factor behind developing?,HUMA1678_ch9_4,yes,normal query
HUMA_2_019,2,ch10,0,Does the text claim that chapter is the only factor behind spatial?,HUMA1678_ch10_3,yes,normal query
